28534,classpath,regress javax swing jtre ,attach code snippet return null current cv head return cellrender run regress prevent varsha http varsha sourceforge net run ,swing,critical,P3,roman,gnu_andrew gnu_andrew cvs-commit roman cvs-commit cvs-commit ,FIXED
28562,classpath,joptionpane showinputdialog ,joptionpan pretti broken current cv start week ago seticon issu pr input dialog funni work time input textfield off screen focu issu attach screenshot older testcas pr demonstr issu mark critic clear regress input dialog uncommon ,swing,critical,P3,roman,hendrich hendrich roman cvs-commit cvs-commit roman hendrich cvs-commit cvs-commit ,FIXED
28816,classpath,behavior differ java classpath execut system properti creat schemafactori instanc ,sun java set system properti suggest schemafactori class instanti perticular factori class newinst method e g system setproperti javax xml validation schemafactori http www w org xmlschema myschemafactoryimpl schemafactori sf schemafactory newinst http www w org xmlschema code run java creat instanc myschemafactoryimpl run gnu classpath librari creat instanc gnu xml validation xmlschema xmlschemaschemafactori due hard code insid instanc method javax xml validation schemafactori class current implement xmlconstants w c xml schema ns uri equ schemalanguag return gnu xml validation xmlschema xmlschemaschemafactori xmlconstants relaxng ns uri equ schemalanguag return gnu xml validation relaxng relaxngschemafactori current implement chang implemant newinst method fix behavior differ suggest implement public static final schemafactori newinst string schemalanguag start check schema languag xmlconstants w c xml schema ns uri equ schemalanguag for schema languag http www w org xmlschema string classnam system getproperti javax xml validation schemafactori http www w org xmlschema properti set environ variabl classnam null classnam java lang classload cl classloader getsystemclassload class cl cl loadclass classnam load class creat instanc schemafactori schemafactori sf schemafactori cls newinst sf isschemalanguagesupport xmlconstants w c xml schema ns uri fals check instanti schemafactori support provid schema language throw illegalargumentexcept schema languag support schemafactori class classnam return sf catch except classdefinationnotfound illegalcastexcept throw illegalargumentexcept default behaviour return gnu xml validation xmlschema xmlschemaschemafactori xmlconstants relaxng ns uri equ schemalanguag for schema languag http relaxng org ns structure string classnam system getproperti javax xml validation schemafactori http relaxng org ns structure properti set environ variabl classnam classnam null java lang classload cl classloader getsystemclassload class cl cl loadclass classnam load class creat instanc schemafactory schemafactori sf schemafactori cls newinst sf isschemalanguagesupport xmlconstants relaxng ns uri fals check instanti schemafactori support provid schema language throw illegalargumentexcept schema languag support schemafactori class classnam return sf catch except throw illegalargumentexcept classdefinationnotfound illiglecastexcept return gnu xml validation relaxng relaxngschemafactori default behaviour throw illegalargumentexcept schemalanguag end suggest implement chang local end adn partial test bug factori implement harcod newinst method factori e g javax xml parsers saxparserfactori ,xml,critical,P3,dog,kulkarni.avadhoot dog kulkarni.avadhoot cvs-commit dog cvs-commit cvs-commit tromey ,FIXED
29264,classpath,method writedtd string dtd gnu xml stream xmlstreamwrit work ,simpl writer writedtd rule system rules dtd doctyp rule system rules dtd except thread main java lang illegalargumentexcept illeg rule system rules dtd gnu xml stream xmlstreamwriterimpl writedtd libgcj so jlem rule rulewriter init test test main test writer writedtd rules dtd doctyp rule work dtd declar total useless method blank quot need gnu xml stream xmlstreamwriterimpl writedtd chang string rule system rules dtd method public void writedtd string dtd throw xmlstreamexcept pointless method isnam dtd throw illegalargumentexcept illeg dtd writer writ doctyp writer writ dtd writer writ catch ioexcept xmlstreamexcept e xmlstreamexcept e initcaus throw e ,xml,critical,P3,dog,mail cvs-commit dog cvs-commit cvs-commit ,FIXED
29644,classpath,jircii text overlap ,freeswingtestapp list edit romankennk test classpath version unknown build test jircii b text overlap text window statusbar useabl box client hang issu compil basic work text encod issu aboutwindow java box javac ecj javadoc gjdoc fail report upstream ,swing,critical,P3,roman,david david roman cvs-commit cvs-commit roman roman ,FIXED
24650,classpath,jtextfield refus accept input initi set empti string ,call jtextfield settext text refus accept keyboard input attach test case demonstr problem set empti field content enter text insid non empti area charact cursor shift correctli click mous charact field input logic empti string result initi text area input potenti sever bug ad input initi empti area main function compon bug block set rmi iiop exampl report again classpath cv novemb jamvm fedora linux ,swing,critical,P3,unassigned,audriusa audriusa audriusa audriusa audriusa cvs-commit audriusa audriusa ,FIXED
25473,classpath,jfilerchoos work accessori set ,jfilechoos basic ui deleg initi accessorypanel metal ui deleg ad ui patch fix index javax swing plaf basic basicfilechooserui java rc file sources classpath classpath javax swing plaf basic basicfilechooserui java retriev revis diff u r basicfilechooserui java javax swing plaf basic basicfilechooserui java nov javax swing plaf basic basicfilechooserui java dec jbutton accept option accessori panel jpanel accessorypanel jpanel accessorypanel jpanel properti chang listen propertychangelisten propertychangelisten index javax swing plaf metal metalfilechooserui java rc file sources classpath classpath javax swing plaf metal metalfilechooserui java retriev revis diff u r metalfilechooserui java javax swing plaf metal metalfilechooserui java nov javax swing plaf metal metalfilechooserui java dec buttonpanel add cancelbutton bottompanel add buttonpanel fc add bottompanel borderlayout south fc add getaccessorypanel borderlayout east ,swing,critical,P3,langel,ctl langel cvs-commit ,FIXED
25478,classpath,typo basicscrollpaneui prevent filechoos work properli ,basicscrollpaneui function updateviewport protect void updateviewport propertychangeev ev jviewport oldviewport jviewport ev getoldvalu oldviewport removechangelisten viewportchangelisten jviewport newviewport jviewport ev getnewvalu newviewport addchangelisten viewportchangelisten syncscrollpanewithviewport typo viewport changelisten scroll pane sync viewport case viewport chang immedi ,swing,critical,P3,unassigned,ctl langel cvs-commit ,FIXED
25480,classpath,metal ui deleg jfilechoos correctli comput size ,metalfilechooserui function getpreferreds line dimens fl filelist getpreferreds line dimens fl filelistpanel getpreferreds filelist size entir list filelistpanel size scroll window list ,swing,major,P3,abalkiss,ctl langel langel langel cvs-commit ,FIXED
25517,classpath,jformattedtextfield fire actionev vk enter hit ,jformattedtextfield fire actionev vk enter valid event fire actionev condit ,swing,major,P3,langel,ctl langel cvs-commit ,FIXED
25536,classpath,javax swing text internationalformatter stringtovalu return correct type ,numberformatt s stringtovalu function internationalformatt s stringtovalu function check valueclass null convert problem valueclass set java swing text defaultformatt s constructor set valueclass object class line valueclass null super stringtovalu o tostr effect set return string numberformatt properli convert thing number altern fix rid set valueclass defaultformatt s constructor idea implic chang condit valueclass null valueclass object class s sens cast object altern constructor numberformat set valueclass doubl ,swing,major,P3,roman,ctl roman roman roman ,FIXED
28719,classpath,regress jtree jtabl scroll mous wheel ,recent regress introduc patch enter bug purpos forget fix till releas ,swing,major,P3,roman,audriusa roman roman cvs-commit audriusa ,FIXED
25770,classpath,jtabl cell editor start doubl click cell ,jtabl model display correctli cell editor start doubl click cell start test case edit cell content sun s jre edit cell content recent cv version gnu classpath set major sever inabl edit cell make tabl unus applic packag main import java awt borderlayout import java awt dimens import javax swing jfram import javax swing jt import javax swing table abstracttablemodel public class tabletest extend jframe jtabl tabl jtabl tmodel model tmodel string valu public tabletest jbinit valu string int values length i valu string table setmodel model catch except e printstacktrac privat void jbinit throw except this getcontentpan add tabl borderlayout cent class tmodel extend abstracttablemodel public boolean iscelledit int parm int parm return true public int getrowcount return public int getcolumncount return public void setvalueat object parm int parm int parm valu parm parm parm public object getvalueat int parm int parm return valu parm parm public string getcolumnnam int parm return header parm public static void main string arg tabletest frame tabletest frame sets dimens frame valid frame setvis true ,swing,major,P3,unassigned,audriusa audriusa cvs-commit audriusa ,FIXED
28750,classpath,regress jtree edit session complet updat ,edit session start end newli enter replac ,swing,major,P3,roman,audriusa cvs-commit roman roman ,FIXED
28769,classpath,regress jtree jtabl mouse wheel scroll ,bug initi creat clone bug recent regress introduc patch enter bug purpos forget fix till releas stupid bugzilla wo re open bug submit anew mouse wheel scroll jtree broken test cv scroll up scroll down mouse wheel ,swing,major,P3,roman,hendrich roman hendrich roman audriusa roman audriusa roman audriusa hendrich roman david.gilbert roman cvs-commit roman hendrich roman ,FIXED
27185,classpath,jcomponent paintchildrenoptim return correct child paint ,swing demo paint button row display start paint wrong compon jbutton proce till button bug fulli fix delet line jcompon kind optim correctli optim remov fix button row depend call setmaximums swing demo call accept oper correctli sun s jre fix swing demo program set severti major button visibl ,swing,major,P3,roman,audriusa audriusa roman audriusa cvs-commit roman ,FIXED
